,H,B,q,R_int,gamma,Su,sf_lower,sf_upper
1153,6,2,20,1.0,16,75,4.337,4.539
1154,6,2,20,1.0,16,50,2.895,3.030
1155,6,2,20,1.0,16,25,1.448,1.515
1156,6,2,20,1.0,14,100,6.441,6.759
1157,6,2,20,1.0,14,75,4.847,5.070
1158,6,2,20,1.0,14,50,3.220,3.379
1159,6,2,20,1.0,14,25,1.615,1.690
1160,6,2,20,0.8,18,100,5.253,5.489
1161,6,2,20,0.8,18,75,3.935,4.116
1162,6,2,20,0.8,18,50,2.627,2.744
1163,6,2,20,0.8,18,25,1.313,1.372
1164,6,2,20,0.8,16,100,5.790,6.063
1165,6,2,20,0.8,16,75,4.337,4.539
1166,6,2,20,0.8,16,50,2.895,3.032
1167,6,2,20,0.8,16,25,1.448,1.516
1168,6,2,20,0.8,14,100,6.441,6.759
1169,6,2,20,0.8,14,75,4.847,5.070
1170,6,2,20,0.8,14,50,3.220,3.379
1171,6,2,20,0.8,14,25,1.610,1.690
1172,6,2,20,0.6,18,100,5.253,5.492
1173,6,2,20,0.6,18,75,3.935,4.113
1174,6,2,20,0.6,18,50,2.627,2.746
1175,6,2,20,0.6,18,25,1.313,1.373
1176,6,2,20,0.6,16,100,5.790,6.059
1177,6,2,20,0.6,16,75,4.337,4.539
1178,6,2,20,0.6,16,50,2.895,3.030
1179,6,2,20,0.6,16,25,1.448,1.515
1180,6,2,20,0.6,14,100,6.441,6.753
1181,6,2,20,0.6,14,75,4.847,5.068
1182,6,2,20,0.6,14,50,3.220,3.376
1183,6,2,20,0.6,14,25,1.610,1.688
1184,6,2,10,1.0,18,100,5.694,5.958
1185,6,2,10,1.0,18,75,4.270,4.461
1186,6,2,10,1.0,18,50,2.847,2.979
1187,6,2,10,1.0,18,25,1.423,1.490
1188,6,2,10,1.0,16,100,6.334,6.630
1189,6,2,10,1.0,16,75,4.765,4.968
1190,6,2,10,1.0,16,50,3.167,3.315
1191,6,2,10,1.0,16,25,1.584,1.657
1192,6,2,10,1.0,14,100,7.119,7.465
1193,6,2,10,1.0,14,75,5.351,5.601
1194,6,2,10,1.0,14,50,3.559,3.732
1195,6,2,10,1.0,14,25,1.780,1.866
1196,6,2,10,0.8,18,100,5.694,5.958
1197,6,2,10,0.8,18,75,4.277,4.461
1198,6,2,10,0.8,18,50,2.847,2.979
1199,6,2,10,0.8,18,25,1.423,1.490
1200,6,2,10,0.8,16,100,6.334,6.630
1201,6,2,10,0.8,16,75,4.765,4.968
1202,6,2,10,0.8,16,50,3.167,3.315
1203,6,2,10,0.8,16,25,1.584,1.657
1204,6,2,10,0.8,14,100,7.119,7.465
1205,6,2,10,0.8,14,75,5.351,5.601
1206,6,2,10,0.8,14,50,3.559,3.732
1207,6,2,10,0.8,14,25,1.780,1.866
1208,6,2,10,0.6,18,100,5.694,5.958
1209,6,2,10,0.6,18,75,4.270,4.461
1210,6,2,10,0.6,18,50,2.847,2.979
1211,6,2,10,0.6,18,25,1.423,1.490
1212,6,2,10,0.6,16,100,6.334,6.625
1213,6,2,10,0.6,16,75,4.765,4.968
1214,6,2,10,0.6,16,50,3.167,3.313
1215,6,2,10,0.6,16,25,1.584,1.656
1216,6,2,10,0.6,14,100,7.119,7.465
1217,6,2,10,0.6,14,75,5.351,5.601
1218,6,2,10,0.6,14,50,3.559,3.732
1219,6,2,10,0.6,14,25,1.780,1.866
1220,6,2,0,1.0,18,100,6.211,6.517
1221,6,2,0,1.0,18,75,4.662,4.873
1222,6,2,0,1.0,18,50,3.106,3.258
1223,6,2,0,1.0,18,25,1.553,1.629
1224,6,2,0,1.0,16,100,6.983,7.325
1225,6,2,0,1.0,16,75,5.229,5.489
1226,6,2,0,1.0,16,50,3.492,3.663
1227,6,2,0,1.0,16,25,1.746,1.831
1228,6,2,0,1.0,14,100,8.010,8.359
1229,6,2,0,1.0,14,75,5.983,6.286
1230,6,2,0,1.0,14,50,4.008,4.180
1231,6,2,0,1.0,14,25,2.003,2.090
1232,6,2,0,0.8,18,100,6.211,6.517
1233,6,2,0,0.8,18,75,4.677,4.873
1234,6,2,0,0.8,18,50,3.106,3.258
1235,6,2,0,0.8,18,25,1.553,1.629
1236,6,2,0,0.8,16,100,6.983,7.325
1237,6,2,0,0.8,16,75,5.229,5.489
1238,6,2,0,0.8,16,50,3.492,3.663
1239,6,2,0,0.8,16,25,1.746,1.831
1240,6,2,0,0.8,14,100,8.023,8.359
1241,6,2,0,0.8,14,75,5.983,6.286
1242,6,2,0,0.8,14,50,4.012,4.180
1243,6,2,0,0.8,14,25,2.006,2.090
1244,6,2,0,0.6,18,100,6.211,6.515
1245,6,2,0,0.6,18,75,4.662,4.873
1246,6,2,0,0.6,18,50,3.106,3.258
1247,6,2,0,0.6,18,25,1.553,1.629
1248,6,2,0,0.6,16,100,6.983,7.320
1249,6,2,0,0.6,16,75,5.229,5.483
1250,6,2,0,0.6,16,50,3.492,3.660
1251,6,2,0,0.6,16,25,1.746,1.830
1252,6,2,0,0.6,14,100,7.965,8.359
1253,6,2,0,0.6,14,75,5.983,6.269
1254,6,2,0,0.6,14,50,3.982,4.180
1255,6,2,0,0.6,14,25,1.991,2.090
1256,4,20,20,1.0,18,100,5.817,6.000
1257,4,20,20,1.0,18,75,4.376,4.496
1258,4,20,20,1.0,18,50,2.909,3.000
1259,4,20,20,1.0,18,25,1.454,1.500
1260,4,20,20,1.0,16,100,6.348,6.581
1261,4,20,20,1.0,16,75,4.755,4.927
1262,4,20,20,1.0,16,50,3.174,3.291
1263,4,20,20,1.0,16,25,1.587,1.645
1264,4,20,20,1.0,14,100,7.081,7.255
1265,4,20,20,1.0,14,75,5.302,5.445
1266,4,20,20,1.0,14,50,3.541,3.628
1267,4,20,20,1.0,14,25,1.770,1.814
1268,4,20,20,0.8,18,100,5.817,6.000
1269,4,20,20,0.8,18,75,4.345,4.496
1270,4,20,20,0.8,18,50,2.909,3.000
1271,4,20,20,0.8,18,25,1.454,1.500
1272,4,20,20,0.8,16,100,6.348,6.581
1273,4,20,20,0.8,16,75,4.785,4.927
1274,4,20,20,0.8,16,50,3.174,3.291
1275,4,20,20,0.8,16,25,1.587,1.645
1276,4,20,20,0.8,14,100,7.067,7.255
1277,4,20,20,0.8,14,75,5.290,5.440
1278,4,20,20,0.8,14,50,3.533,3.628
1279,4,20,20,0.8,14,25,1.767,1.814
1280,4,20,20,0.6,18,100,5.802,6.000
1281,4,20,20,0.6,18,75,4.354,4.496
1282,4,20,20,0.6,18,50,2.901,3.000
1283,4,20,20,0.6,18,25,1.451,1.500
1284,4,20,20,0.6,16,100,6.352,6.581
1285,4,20,20,0.6,16,75,4.768,4.927
1286,4,20,20,0.6,16,50,3.176,3.291
1287,4,20,20,0.6,16,25,1.588,1.645
1288,4,20,20,0.6,14,100,7.011,7.267
1289,4,20,20,0.6,14,75,5.274,5.445
1290,4,20,20,0.6,14,50,3.505,3.634
1291,4,20,20,0.6,14,25,1.753,1.817
1292,4,20,10,1.0,18,100,6.539,6.731
1293,4,20,10,1.0,18,75,4.874,5.052
1294,4,20,10,1.0,18,50,3.270,3.365
1295,4,20,10,1.0,18,25,1.635,1.683
1296,4,20,10,1.0,16,100,7.247,7.465
1297,4,20,10,1.0,16,75,5.409,5.600
1298,4,20,10,1.0,16,50,3.624,3.732
1299,4,20,10,1.0,16,25,1.812,1.866
1300,4,20,10,1.0,14,100,8.076,8.363
1301,4,20,10,1.0,14,75,6.049,6.286
1302,4,20,10,1.0,14,50,4.038,4.181
1303,4,20,10,1.0,14,25,2.019,2.091
1304,4,20,10,0.8,18,100,6.534,6.731
1305,4,20,10,0.8,18,75,4.909,5.052
1306,4,20,10,0.8,18,50,3.267,3.365
1307,4,20,10,0.8,18,25,1.633,1.683
1308,4,20,10,0.8,16,100,7.254,7.465
1309,4,20,10,0.8,16,75,5.427,5.600
1310,4,20,10,0.8,16,50,3.627,3.732
1311,4,20,10,0.8,16,25,1.814,1.866
1312,4,20,10,0.8,14,100,8.140,8.363
1313,4,20,10,0.8,14,75,6.092,6.286
1314,4,20,10,0.8,14,50,4.070,4.181
1315,4,20,10,0.8,14,25,2.035,2.091
1316,4,20,10,0.6,18,100,6.547,6.731
1317,4,20,10,0.6,18,75,4.881,5.044
1318,4,20,10,0.6,18,50,3.273,3.365
1319,4,20,10,0.6,18,25,1.637,1.683
1320,4,20,10,0.6,16,100,7.211,7.465
1321,4,20,10,0.6,16,75,5.413,5.600
1322,4,20,10,0.6,16,50,3.606,3.732
1323,4,20,10,0.6,16,25,1.803,1.866
1324,4,20,10,0.6,14,100,8.093,8.363
1325,4,20,10,0.6,14,75,6.062,6.286
1326,4,20,10,0.6,14,50,4.047,4.181
1327,4,20,10,0.6,14,25,2.023,2.091
1328,4,20,0,1.0,18,100,7.449,7.660
1329,4,20,0,1.0,18,75,5.591,5.751
1330,4,20,0,1.0,18,50,3.724,3.830
1331,4,20,0,1.0,18,25,1.862,1.915
1332,4,20,0,1.0,16,100,8.394,8.611
1333,4,20,0,1.0,16,75,6.242,6.470
1334,4,20,0,1.0,16,50,4.197,4.306
1335,4,20,0,1.0,16,25,2.099,2.153
1336,4,20,0,1.0,14,100,9.573,9.855
1337,4,20,0,1.0,14,75,7.137,7.392
1338,4,20,0,1.0,14,50,4.787,4.927
1339,4,20,0,1.0,14,25,2.393,2.464
1340,4,20,0,0.8,18,100,7.437,7.654
1341,4,20,0,0.8,18,75,5.600,5.751
1342,4,20,0,0.8,18,50,3.721,3.827
1343,4,20,0,0.8,18,25,1.859,1.913
1344,4,20,0,0.8,16,100,8.334,8.618
1345,4,20,0,0.8,16,75,6.278,6.470
1346,4,20,0,0.8,16,50,4.193,4.309
1347,4,20,0,0.8,16,25,2.097,2.155
1348,4,20,0,0.8,14,100,9.571,9.855
1349,4,20,0,0.8,14,75,7.186,7.392
1350,4,20,0,0.8,14,50,4.785,4.927
1351,4,20,0,0.8,14,25,2.393,2.464
1352,4,20,0,0.6,18,100,7.389,7.660
1353,4,20,0,0.6,18,75,5.558,5.751
1354,4,20,0,0.6,18,50,3.695,3.830
1355,4,20,0,0.6,18,25,1.847,1.915
1356,4,20,0,0.6,16,100,8.334,8.618
1357,4,20,0,0.6,16,75,6.301,6.470
1358,4,20,0,0.6,16,50,4.167,4.309
1359,4,20,0,0.6,16,25,2.083,2.155
1360,4,20,0,0.6,14,100,9.537,9.855
1361,4,20,0,0.6,14,75,7.137,7.392
1362,4,20,0,0.6,14,50,4.768,4.927
1363,4,20,0,0.6,14,25,2.384,2.464
1364,4,18,20,1.0,18,100,5.893,6.062
1365,4,18,20,1.0,18,75,4.425,4.554
1366,4,18,20,1.0,18,50,2.946,3.031
1367,4,18,20,1.0,18,25,1.473,1.516
1368,4,18,20,1.0,16,100,6.443,6.653
1369,4,18,20,1.0,16,75,4.846,4.990
1370,4,18,20,1.0,16,50,3.222,3.326
1371,4,18,20,1.0,16,25,1.611,1.663
1372,4,18,20,1.0,14,100,7.101,7.349
1373,4,18,20,1.0,14,75,5.338,5.503
1374,4,18,20,1.0,14,50,3.551,3.674
1375,4,18,20,1.0,14,25,1.775,1.837
1376,4,18,20,0.8,18,100,5.882,6.062
1377,4,18,20,0.8,18,75,4.425,4.554
1378,4,18,20,0.8,18,50,2.941,3.031
1379,4,18,20,0.8,18,25,1.471,1.516
1380,4,18,20,0.8,16,100,6.440,6.653
1381,4,18,20,0.8,16,75,4.846,4.990
1382,4,18,20,0.8,16,50,3.220,3.326
1383,4,18,20,0.8,16,25,1.610,1.663
1384,4,18,20,0.8,14,100,7.101,7.339
1385,4,18,20,0.8,14,75,5.356,5.507
1386,4,18,20,0.8,14,50,3.551,3.670
1387,4,18,20,0.8,14,25,1.775,1.837
1388,4,18,20,0.6,18,100,5.889,6.062
1389,4,18,20,0.6,18,75,4.432,4.554
1390,4,18,20,0.6,18,50,2.944,3.031
1391,4,18,20,0.6,18,25,1.472,1.516
1392,4,18,20,0.6,16,100,6.443,6.653
1393,4,18,20,0.6,16,75,4.855,4.990
1394,4,18,20,0.6,16,50,3.222,3.326
1395,4,18,20,0.6,16,25,1.611,1.663
1396,4,18,20,0.6,14,100,7.147,7.349
1397,4,18,20,0.6,14,75,5.365,5.507
1398,4,18,20,0.6,14,50,3.574,3.674
1399,4,18,20,0.6,14,25,1.787,1.837
1400,4,18,10,1.0,18,100,6.583,6.817
1401,4,18,10,1.0,18,75,4.938,5.105
1402,4,18,10,1.0,18,50,3.292,3.409
1403,4,18,10,1.0,18,25,1.646,1.704
1404,4,18,10,1.0,16,100,7.326,7.548
1405,4,18,10,1.0,16,75,5.495,5.659
1406,4,18,10,1.0,16,50,3.663,3.774
1407,4,18,10,1.0,16,25,1.832,1.887
1408,4,18,10,1.0,14,100,8.218,8.454
1409,4,18,10,1.0,14,75,6.156,6.341
1410,4,18,10,1.0,14,50,4.109,4.227
1411,4,18,10,1.0,14,25,2.055,2.113
1412,4,18,10,0.8,18,100,6.583,6.817
1413,4,18,10,0.8,18,75,4.938,5.105
1414,4,18,10,0.8,18,50,3.292,3.409
1415,4,18,10,0.8,18,25,1.646,1.704
1416,4,18,10,0.8,16,100,7.326,7.535
1417,4,18,10,0.8,16,75,5.495,5.659
1418,4,18,10,0.8,16,50,3.663,3.768
1419,4,18,10,0.8,16,25,1.832,1.884
1420,4,18,10,0.8,14,100,8.218,8.471
1421,4,18,10,0.8,14,75,6.156,6.341
1422,4,18,10,0.8,14,50,4.109,4.236
1423,4,18,10,0.8,14,25,2.055,2.118
1424,4,18,10,0.6,18,100,6.626,6.817
1425,4,18,10,0.6,18,75,4.938,5.114
1426,4,18,10,0.6,18,50,3.292,3.409
1427,4,18,10,0.6,18,25,1.656,1.704
1428,4,18,10,0.6,16,100,7.326,7.535
1429,4,18,10,0.6,16,75,5.495,5.659
1430,4,18,10,0.6,16,50,3.663,3.768
1431,4,18,10,0.6,16,25,1.832,1.884
1432,4,18,10,0.6,14,100,8.218,8.471
1433,4,18,10,0.6,14,75,6.156,6.341
1434,4,18,10,0.6,14,50,4.109,4.236
1435,4,18,10,0.6,14,25,2.055,2.118
1436,4,18,0,1.0,18,100,7.497,7.752
1437,4,18,0,1.0,18,75,5.646,5.813
1438,4,18,0,1.0,18,50,3.748,3.876
1439,4,18,0,1.0,18,25,1.874,1.938
1440,4,18,0,1.0,16,100,8.446,8.736
1441,4,18,0,1.0,16,75,6.330,6.539
1442,4,18,0,1.0,16,50,4.223,4.368
1443,4,18,0,1.0,16,25,2.111,2.184
1444,4,18,0,1.0,14,100,9.693,9.979
1445,4,18,0,1.0,14,75,7.286,7.479
1446,4,18,0,1.0,14,50,4.831,4.990
1447,4,18,0,1.0,14,25,2.415,2.495
1448,4,18,0,0.8,18,100,7.497,7.752
1449,4,18,0,0.8,18,75,5.646,5.813
1450,4,18,0,0.8,18,50,3.748,3.876
1451,4,18,0,0.8,18,25,1.874,1.938
1452,4,18,0,0.8,16,100,8.473,8.736
1453,4,18,0,0.8,16,75,6.330,6.539
1454,4,18,0,0.8,16,50,4.237,4.368
1455,4,18,0,0.8,16,25,2.118,2.184
1456,4,18,0,0.8,14,100,9.693,9.979
1457,4,18,0,0.8,14,75,7.228,7.473
1458,4,18,0,0.8,14,50,4.846,4.990
1459,4,18,0,0.8,14,25,2.423,2.495
1460,4,18,0,0.6,18,100,7.551,7.752
1461,4,18,0,0.6,18,75,5.646,5.813
1462,4,18,0,0.6,18,50,3.776,3.876
1463,4,18,0,0.6,18,25,1.888,1.938
1464,4,18,0,0.6,16,100,8.467,8.736
1465,4,18,0,0.6,16,75,6.348,6.534
1466,4,18,0,0.6,16,50,4.234,4.368
1467,4,18,0,0.6,16,25,2.117,2.184
1468,4,18,0,0.6,14,100,9.694,9.979
1469,4,18,0,0.6,14,75,7.286,7.473
1470,4,18,0,0.6,14,50,4.847,4.990
1471,4,18,0,0.6,14,25,2.423,2.495
1472,4,16,20,1.0,18,100,5.918,6.119
1473,4,16,20,1.0,18,75,4.460,4.598
1474,4,16,20,1.0,18,50,2.959,3.059
1475,4,16,20,1.0,18,25,1.479,1.530
1476,4,16,20,1.0,16,100,6.506,6.715
1477,4,16,20,1.0,16,75,4.885,5.039
1478,4,16,20,1.0,16,50,3.253,3.358
1479,4,16,20,1.0,16,25,1.626,1.679
1480,4,16,20,1.0,14,100,7.197,7.411
1481,4,16,20,1.0,14,75,5.398,5.559
1482,4,16,20,1.0,14,50,3.599,3.706
1483,4,16,20,1.0,14,25,1.799,1.853
1484,4,16,20,0.8,18,100,5.926,6.119
1485,4,16,20,0.8,18,75,4.454,4.595
1486,4,16,20,0.8,18,50,2.963,3.059
1487,4,16,20,0.8,18,25,1.480,1.530
1488,4,16,20,0.8,16,100,6.506,6.719
1489,4,16,20,0.8,16,75,4.885,5.032
1490,4,16,20,0.8,16,50,3.253,3.360
1491,4,16,20,0.8,16,25,1.628,1.680
1492,4,16,20,0.8,14,100,7.203,7.411
1493,4,16,20,0.8,14,75,5.359,5.550
1494,4,16,20,0.8,14,50,3.602,3.706
1495,4,16,20,0.8,14,25,1.801,1.853
1496,4,16,20,0.6,18,100,5.883,6.119
1497,4,16,20,0.6,18,75,4.446,4.595
1498,4,16,20,0.6,18,50,2.941,3.059
1499,4,16,20,0.6,18,25,1.471,1.530
1500,4,16,20,0.6,16,100,6.514,6.719
1501,4,16,20,0.6,16,75,4.889,5.032
1502,4,16,20,0.6,16,50,3.257,3.360
1503,4,16,20,0.6,16,25,1.628,1.680
1504,4,16,20,0.6,14,100,7.209,7.411
1505,4,16,20,0.6,14,75,5.382,5.559
1506,4,16,20,0.6,14,50,3.604,3.706
1507,4,16,20,0.6,14,25,1.802,1.853
1508,4,16,10,1.0,18,100,6.673,6.875
1509,4,16,10,1.0,18,75,5.006,5.156
1510,4,16,10,1.0,18,50,3.337,3.437
1511,4,16,10,1.0,18,25,1.668,1.719
1512,4,16,10,1.0,16,100,7.367,7.618
1513,4,16,10,1.0,16,75,5.546,5.710
1514,4,16,10,1.0,16,50,3.684,3.809
1515,4,16,10,1.0,16,25,1.845,1.904
1516,4,16,10,1.0,14,100,8.204,8.534
1517,4,16,10,1.0,14,75,6.224,6.404
1518,4,16,10,1.0,14,50,4.102,4.267
1519,4,16,10,1.0,14,25,2.051,2.133
1520,4,16,10,0.8,18,100,6.683,6.875
1521,4,16,10,0.8,18,75,5.002,5.156
1522,4,16,10,0.8,18,50,3.342,3.437
1523,4,16,10,0.8,18,25,1.671,1.719
1524,4,16,10,0.8,16,100,7.367,7.618
1525,4,16,10,0.8,16,75,5.543,5.713
1526,4,16,10,0.8,16,50,3.681,3.809
1527,4,16,10,0.8,16,25,1.842,1.904
1528,4,16,10,0.8,14,100,8.204,8.534
1529,4,16,10,0.8,14,75,6.220,6.404
1530,4,16,10,0.8,14,50,4.102,4.267
1531,4,16,10,0.8,14,25,2.051,2.133
1532,4,16,10,0.6,18,100,6.678,6.875
1533,4,16,10,0.6,18,75,5.010,5.156
1534,4,16,10,0.6,18,50,3.339,3.437
1535,4,16,10,0.6,18,25,1.670,1.719
1536,4,16,10,0.6,16,100,7.379,7.618
1537,4,16,10,0.6,16,75,5.551,5.713
1538,4,16,10,0.6,16,50,3.690,3.809
1539,4,16,10,0.6,16,25,1.845,1.904
1540,4,16,10,0.6,14,100,8.277,8.534
1541,4,16,10,0.6,14,75,6.220,6.404
1542,4,16,10,0.6,14,50,4.142,4.267
1543,4,16,10,0.6,14,25,2.069,2.133
1544,4,16,0,1.0,18,100,7.604,7.834
1545,4,16,0,1.0,18,75,5.673,5.868
1546,4,16,0,1.0,18,50,3.802,3.917
1547,4,16,0,1.0,18,25,1.901,1.959
1548,4,16,0,1.0,16,100,8.520,8.796
1549,4,16,0,1.0,16,75,6.412,6.604
1550,4,16,0,1.0,16,50,4.260,4.398
1551,4,16,0,1.0,16,25,2.130,2.199
1552,4,16,0,1.0,14,100,9.756,10.077
1553,4,16,0,1.0,14,75,7.326,7.538
1554,4,16,0,1.0,14,50,4.878,5.039
1555,4,16,0,1.0,14,25,2.439,2.519
1556,4,16,0,0.8,18,100,7.604,7.829
1557,4,16,0,0.8,18,75,5.703,5.868
1558,4,16,0,0.8,18,50,3.799,3.915
1559,4,16,0,0.8,18,25,1.900,1.957
1560,4,16,0,0.8,16,100,8.509,8.796
1561,4,16,0,0.8,16,75,6.417,6.604
1562,4,16,0,0.8,16,50,4.254,4.398
1563,4,16,0,0.8,16,25,2.127,2.199
1564,4,16,0,0.8,14,100,9.778,10.064
1565,4,16,0,0.8,14,75,7.337,7.538
1566,4,16,0,0.8,14,50,4.889,5.032
1567,4,16,0,0.8,14,25,2.444,2.516
1568,4,16,0,0.6,18,100,7.604,7.829
1569,4,16,0,0.6,18,75,5.701,5.868
1570,4,16,0,0.6,18,50,3.805,3.915
1571,4,16,0,0.6,18,25,1.901,1.957
1572,4,16,0,0.6,16,100,8.512,8.796
1573,4,16,0,0.6,16,75,6.412,6.604
1574,4,16,0,0.6,16,50,4.256,4.398
1575,4,16,0,0.6,16,25,2.128,2.199
1576,4,16,0,0.6,14,100,9.770,10.064
1577,4,16,0,0.6,14,75,7.331,7.538
1578,4,16,0,0.6,14,50,4.885,5.032
1579,4,16,0,0.6,14,25,2.442,2.516
1580,4,14,20,1.0,18,100,5.992,6.173
1581,4,14,20,1.0,18,75,4.470,4.630
1582,4,14,20,1.0,18,50,2.996,3.087
1583,4,14,20,1.0,18,25,1.498,1.543
1584,4,14,20,1.0,16,100,6.565,6.759
1585,4,14,20,1.0,16,75,4.930,5.069
1586,4,14,20,1.0,16,50,3.283,3.380
1587,4,14,20,1.0,16,25,1.641,1.690
1588,4,14,20,1.0,14,100,7.261,7.489
1589,4,14,20,1.0,14,75,5.441,5.603
1590,4,14,20,1.0,14,50,3.631,3.744
1591,4,14,20,1.0,14,25,1.815,1.872
1592,4,14,20,0.8,18,100,5.997,6.168
1593,4,14,20,0.8,18,75,4.470,4.630
1594,4,14,20,0.8,18,50,2.999,3.084
1595,4,14,20,0.8,18,25,1.499,1.542
1596,4,14,20,0.8,16,100,6.523,6.759
1597,4,14,20,0.8,16,75,4.926,5.069
1598,4,14,20,0.8,16,50,3.262,3.380
1599,4,14,20,0.8,16,25,1.631,1.690
1600,4,14,20,0.8,14,100,7.209,7.489
1601,4,14,20,0.8,14,75,5.406,5.607
1602,4,14,20,0.8,14,50,3.604,3.744
1603,4,14,20,0.8,14,25,1.802,1.872
1604,4,14,20,0.6,18,100,5.997,6.173
1605,4,14,20,0.6,18,75,4.492,4.630
1606,4,14,20,0.6,18,50,2.999,3.087
1607,4,14,20,0.6,18,25,1.499,1.543
1608,4,14,20,0.6,16,100,6.523,6.777
1609,4,14,20,0.6,16,75,4.930,5.069
1610,4,14,20,0.6,16,50,3.262,3.389
1611,4,14,20,0.6,16,25,1.631,1.694
1612,4,14,20,0.6,14,100,7.209,7.489
1613,4,14,20,0.6,14,75,5.445,5.607
1614,4,14,20,0.6,14,50,3.604,3.744
1615,4,14,20,0.6,14,25,1.802,1.872
1616,4,14,10,1.0,18,100,6.685,6.922
1617,4,14,10,1.0,18,75,5.044,5.192
1618,4,14,10,1.0,18,50,3.343,3.461
1619,4,14,10,1.0,18,25,1.671,1.730
1620,4,14,10,1.0,16,100,7.456,7.673
1621,4,14,10,1.0,16,75,5.590,5.753
1622,4,14,10,1.0,16,50,3.704,3.836
1623,4,14,10,1.0,16,25,1.852,1.918
1624,4,14,10,1.0,14,100,8.301,8.620
1625,4,14,10,1.0,14,75,6.265,6.468
1626,4,14,10,1.0,14,50,4.151,4.310
1627,4,14,10,1.0,14,25,2.075,2.155
1628,4,14,10,0.8,18,100,6.731,6.927
1629,4,14,10,0.8,18,75,5.048,5.192
1630,4,14,10,0.8,18,50,3.366,3.464
1631,4,14,10,0.8,18,25,1.683,1.732
1632,4,14,10,0.8,16,100,7.452,7.673
1633,4,14,10,0.8,16,75,5.554,5.753
1634,4,14,10,0.8,16,50,3.704,3.836
1635,4,14,10,0.8,16,25,1.852,1.918
1636,4,14,10,0.8,14,100,8.301,8.620
1637,4,14,10,0.8,14,75,6.260,6.468
1638,4,14,10,0.8,14,50,4.151,4.310
1639,4,14,10,0.8,14,25,2.075,2.155
1640,4,14,10,0.6,18,100,6.734,6.922
1641,4,14,10,0.6,18,75,5.044,5.192
1642,4,14,10,0.6,18,50,3.367,3.461
1643,4,14,10,0.6,18,25,1.683,1.730
1644,4,14,10,0.6,16,100,7.408,7.673
1645,4,14,10,0.6,16,75,5.590,5.757
1646,4,14,10,0.6,16,50,3.704,3.836
1647,4,14,10,0.6,16,25,1.852,1.918
1648,4,14,10,0.6,14,100,8.301,8.620
1649,4,14,10,0.6,14,75,6.270,6.468
1650,4,14,10,0.6,14,50,4.151,4.310
1651,4,14,10,0.6,14,25,2.075,2.155
1652,4,14,0,1.0,18,100,7.662,7.883
1653,4,14,0,1.0,18,75,5.710,5.914
1654,4,14,0,1.0,18,50,3.831,3.942
1655,4,14,0,1.0,18,25,1.916,1.971
1656,4,14,0,1.0,16,100,8.565,8.875
1657,4,14,0,1.0,16,75,6.458,6.658
1658,4,14,0,1.0,16,50,4.282,4.437
1659,4,14,0,1.0,16,25,2.141,2.219
1660,4,14,0,1.0,14,100,9.851,10.138
1661,4,14,0,1.0,14,75,7.384,7.618
1662,4,14,0,1.0,14,50,4.926,5.069
1663,4,14,0,1.0,14,25,2.463,2.534
1664,4,14,0,0.8,18,100,7.662,7.890
1665,4,14,0,0.8,18,75,5.747,5.914
1666,4,14,0,0.8,18,50,3.831,3.945
1667,4,14,0,0.8,18,25,1.916,1.972
1668,4,14,0,0.8,16,100,8.620,8.875
1669,4,14,0,0.8,16,75,6.411,6.653
1670,4,14,0,0.8,16,50,4.310,4.437
1671,4,14,0,0.8,16,25,2.155,2.219
1672,4,14,0,0.8,14,100,9.851,10.138
1673,4,14,0,0.8,14,75,7.337,7.618
1674,4,14,0,0.8,14,50,4.926,5.069
1675,4,14,0,0.8,14,25,2.463,2.534
1676,4,14,0,0.6,18,100,7.613,7.883
1677,4,14,0,0.6,18,75,5.747,5.919
1678,4,14,0,0.6,18,50,3.806,3.942
1679,4,14,0,0.6,18,25,1.903,1.971
1680,4,14,0,0.6,16,100,8.620,8.875
1681,4,14,0,0.6,16,75,6.458,6.658
1682,4,14,0,0.6,16,50,4.282,4.437
1683,4,14,0,0.6,16,25,2.141,2.219
1684,4,14,0,0.6,14,100,9.788,10.138
1685,4,14,0,0.6,14,75,7.337,7.618
1686,4,14,0,0.6,14,50,4.894,5.069
1687,4,14,0,0.6,14,25,2.447,2.534
1688,4,12,20,1.0,18,100,6.023,6.255
1689,4,12,20,1.0,18,75,4.517,4.691
1690,4,12,20,1.0,18,50,3.012,3.128
1691,4,12,20,1.0,18,25,1.506,1.564
1692,4,12,20,1.0,16,100,6.621,6.830
1693,4,12,20,1.0,16,75,4.935,5.138
1694,4,12,20,1.0,16,50,3.310,3.415
1695,4,12,20,1.0,16,25,1.655,1.707
1696,4,12,20,1.0,14,100,7.274,7.568
1697,4,12,20,1.0,14,75,5.494,5.676
1698,4,12,20,1.0,14,50,3.637,3.784
1699,4,12,20,1.0,14,25,1.819,1.892
1700,4,12,20,0.8,18,100,6.023,6.255
1701,4,12,20,0.8,18,75,4.517,4.691
1702,4,12,20,0.8,18,50,3.012,3.128
1703,4,12,20,0.8,18,25,1.506,1.564
1704,4,12,20,0.8,16,100,6.621,6.830
1705,4,12,20,0.8,16,75,4.935,5.138
1706,4,12,20,0.8,16,50,3.310,3.415
1707,4,12,20,0.8,16,25,1.655,1.707
1708,4,12,20,0.8,14,100,7.289,7.568
1709,4,12,20,0.8,14,75,5.486,5.676
1710,4,12,20,0.8,14,50,3.645,3.784
