,H,B,q,R_int,gamma,Su,sf_lower,sf_upper
270,6,20,0,0.8,14,50,3.184,3.294
271,6,20,0,0.8,14,25,1.592,1.647
272,6,20,0,0.6,18,100,4.963,5.116
273,6,20,0,0.6,18,75,3.720,3.842
274,6,20,0,0.6,18,50,2.482,2.558
275,6,20,0,0.6,18,25,1.231,1.279
276,6,20,0,0.6,16,100,5.581,5.764
277,6,20,0,0.6,16,75,4.193,4.321
278,6,20,0,0.6,16,50,2.790,2.882
279,6,20,0,0.6,16,25,1.395,1.443
280,6,20,0,0.6,14,100,6.369,6.589
281,6,20,0,0.6,14,75,4.785,4.943
282,6,20,0,0.6,14,50,3.184,3.294
283,6,20,0,0.6,14,25,1.592,1.647
284,6,18,20,1.0,18,100,4.256,4.383
285,6,18,20,1.0,18,75,3.195,3.294
286,6,18,20,1.0,18,50,2.128,2.192
287,6,18,20,1.0,18,25,1.064,1.096
288,6,18,20,1.0,16,100,4.698,4.853
289,6,18,20,1.0,16,75,3.523,3.637
290,6,18,20,1.0,16,50,2.349,2.426
291,6,18,20,1.0,16,25,1.174,1.213
292,6,18,20,1.0,14,100,5.199,5.411
293,6,18,20,1.0,14,75,3.925,4.057
294,6,18,20,1.0,14,50,2.600,2.705
295,6,18,20,1.0,14,25,1.300,1.353
296,6,18,20,0.8,18,100,4.256,4.383
297,6,18,20,0.8,18,75,3.195,3.294
298,6,18,20,0.8,18,50,2.128,2.192
299,6,18,20,0.8,18,25,1.064,1.096
300,6,18,20,0.8,16,100,4.682,4.853
301,6,18,20,0.8,16,75,3.523,3.637
302,6,18,20,0.8,16,50,2.341,2.426
303,6,18,20,0.8,16,25,1.171,1.213
304,6,18,20,0.8,14,100,5.199,5.411
305,6,18,20,0.8,14,75,3.912,4.057
306,6,18,20,0.8,14,50,2.600,2.705
307,6,18,20,0.8,14,25,1.300,1.353
308,6,18,20,0.6,18,100,4.242,4.383
309,6,18,20,0.6,18,75,3.195,3.294
310,6,18,20,0.6,18,50,2.121,2.192
311,6,18,20,0.6,18,25,1.061,1.096
312,6,18,20,0.6,16,100,4.698,4.853
313,6,18,20,0.6,16,75,3.523,3.637
314,6,18,20,0.6,16,50,2.349,2.426
315,6,18,20,0.6,16,25,1.174,1.213
316,6,18,20,0.6,14,100,5.199,5.411
317,6,18,20,0.6,14,75,3.912,4.057
318,6,18,20,0.6,14,50,2.600,2.705
319,6,18,20,0.6,14,25,1.300,1.353
320,6,18,10,1.0,18,100,4.612,4.756
321,6,18,10,1.0,18,75,3.439,3.575
322,6,18,10,1.0,18,50,2.306,2.378
323,6,18,10,1.0,18,25,1.153,1.189
324,6,18,10,1.0,16,100,5.139,5.302
325,6,18,10,1.0,16,75,3.825,3.979
326,6,18,10,1.0,16,50,2.570,2.651
327,6,18,10,1.0,16,25,1.285,1.326
328,6,18,10,1.0,14,100,5.754,5.984
329,6,18,10,1.0,14,75,4.317,4.492
330,6,18,10,1.0,14,50,2.877,2.992
331,6,18,10,1.0,14,25,1.438,1.496
332,6,18,10,0.8,18,100,4.619,4.756
333,6,18,10,0.8,18,75,3.439,3.575
334,6,18,10,0.8,18,50,2.309,2.378
335,6,18,10,0.8,18,25,1.155,1.189
336,6,18,10,0.8,16,100,5.122,5.302
337,6,18,10,0.8,16,75,3.825,3.979
338,6,18,10,0.8,16,50,2.561,2.651
339,6,18,10,0.8,16,25,1.281,1.326
340,6,18,10,0.8,14,100,5.754,5.984
341,6,18,10,0.8,14,75,4.317,4.492
342,6,18,10,0.8,14,50,2.877,2.992
343,6,18,10,0.8,14,25,1.438,1.496
344,6,18,10,0.6,18,100,4.619,4.756
345,6,18,10,0.6,18,75,3.439,3.575
346,6,18,10,0.6,18,50,2.309,2.378
347,6,18,10,0.6,18,25,1.155,1.189
348,6,18,10,0.6,16,100,5.139,5.302
349,6,18,10,0.6,16,75,3.825,3.979
350,6,18,10,0.6,16,50,2.578,2.651
351,6,18,10,0.6,16,25,1.289,1.326
352,6,18,10,0.6,14,100,5.754,5.984
353,6,18,10,0.6,14,75,4.317,4.480
354,6,18,10,0.6,14,50,2.877,2.992
355,6,18,10,0.6,14,25,1.438,1.496
356,6,18,0,1.0,18,100,5.004,5.213
357,6,18,0,1.0,18,75,3.755,3.906
358,6,18,0,1.0,18,50,2.502,2.607
359,6,18,0,1.0,18,25,1.251,1.303
360,6,18,0,1.0,16,100,5.637,5.860
361,6,18,0,1.0,16,75,4.256,4.383
362,6,18,0,1.0,16,50,2.818,2.930
363,6,18,0,1.0,16,25,1.409,1.465
364,6,18,0,1.0,14,100,6.433,6.696
365,6,18,0,1.0,14,75,4.825,5.027
366,6,18,0,1.0,14,50,3.216,3.348
367,6,18,0,1.0,14,25,1.608,1.674
368,6,18,0,0.8,18,100,5.004,5.206
369,6,18,0,0.8,18,75,3.755,3.906
370,6,18,0,0.8,18,50,2.502,2.603
371,6,18,0,0.8,18,25,1.251,1.302
372,6,18,0,0.8,16,100,5.637,5.860
373,6,18,0,0.8,16,75,4.256,4.383
374,6,18,0,0.8,16,50,2.818,2.930
375,6,18,0,0.8,16,25,1.409,1.465
376,6,18,0,0.8,14,100,6.433,6.696
377,6,18,0,0.8,14,75,4.825,5.027
378,6,18,0,0.8,14,50,3.216,3.348
379,6,18,0,0.8,14,25,1.608,1.674
380,6,18,0,0.6,18,100,5.004,5.206
381,6,18,0,0.6,18,75,3.755,3.906
382,6,18,0,0.6,18,50,2.502,2.603
383,6,18,0,0.6,18,25,1.251,1.302
384,6,18,0,0.6,16,100,5.637,5.860
385,6,18,0,0.6,16,75,4.256,4.383
386,6,18,0,0.6,16,50,2.818,2.930
387,6,18,0,0.6,16,25,1.409,1.465
388,6,18,0,0.6,14,100,6.433,6.696
389,6,18,0,0.6,14,75,4.825,5.020
390,6,18,0,0.6,14,50,3.216,3.348
391,6,18,0,0.6,14,25,1.608,1.674
392,6,16,20,1.0,18,100,4.337,4.468
393,6,16,20,1.0,18,75,3.255,3.360
394,6,16,20,1.0,18,50,2.169,2.234
395,6,16,20,1.0,18,25,1.084,1.117
396,6,16,20,1.0,16,100,4.791,4.930
397,6,16,20,1.0,16,75,3.575,3.698
398,6,16,20,1.0,16,50,2.395,2.465
399,6,16,20,1.0,16,25,1.198,1.233
400,6,16,20,1.0,14,100,5.353,5.509
401,6,16,20,1.0,14,75,4.006,4.135
402,6,16,20,1.0,14,50,2.676,2.755
403,6,16,20,1.0,14,25,1.338,1.377
404,6,16,20,0.8,18,100,4.337,4.468
405,6,16,20,0.8,18,75,3.255,3.360
406,6,16,20,0.8,18,50,2.169,2.238
407,6,16,20,0.8,18,25,1.084,1.119
408,6,16,20,0.8,16,100,4.783,4.930
409,6,16,20,0.8,16,75,3.575,3.698
410,6,16,20,0.8,16,50,2.391,2.465
411,6,16,20,0.8,16,25,1.196,1.233
412,6,16,20,0.8,14,100,5.349,5.500
413,6,16,20,0.8,14,75,3.991,4.135
414,6,16,20,0.8,14,50,2.674,2.750
415,6,16,20,0.8,14,25,1.337,1.375
416,6,16,20,0.6,18,100,4.337,4.468
417,6,16,20,0.6,18,75,3.255,3.360
418,6,16,20,0.6,18,50,2.169,2.234
419,6,16,20,0.6,18,25,1.084,1.117
420,6,16,20,0.6,16,100,4.787,4.934
421,6,16,20,0.6,16,75,3.575,3.698
422,6,16,20,0.6,16,50,2.393,2.467
423,6,16,20,0.6,16,25,1.197,1.234
424,6,16,20,0.6,14,100,5.310,5.500
425,6,16,20,0.6,14,75,4.009,4.135
426,6,16,20,0.6,14,50,2.655,2.750
427,6,16,20,0.6,14,25,1.328,1.375
428,6,16,10,1.0,18,100,4.678,4.859
429,6,16,10,1.0,18,75,3.530,3.638
430,6,16,10,1.0,18,50,2.339,2.429
431,6,16,10,1.0,18,25,1.178,1.215
432,6,16,10,1.0,16,100,5.236,5.416
433,6,16,10,1.0,16,75,3.936,4.057
434,6,16,10,1.0,16,50,2.618,2.708
435,6,16,10,1.0,16,25,1.309,1.354
436,6,16,10,1.0,14,100,5.883,6.100
437,6,16,10,1.0,14,75,4.432,4.561
438,6,16,10,1.0,14,50,2.941,3.050
439,6,16,10,1.0,14,25,1.471,1.525
440,6,16,10,0.8,18,100,4.678,4.862
441,6,16,10,0.8,18,75,3.505,3.635
442,6,16,10,0.8,18,50,2.339,2.431
443,6,16,10,0.8,18,25,1.170,1.215
444,6,16,10,0.8,16,100,5.236,5.416
445,6,16,10,0.8,16,75,3.936,4.057
446,6,16,10,0.8,16,50,2.618,2.708
447,6,16,10,0.8,16,25,1.309,1.354
448,6,16,10,0.8,14,100,5.883,6.100
449,6,16,10,0.8,14,75,4.432,4.564
450,6,16,10,0.8,14,50,2.941,3.050
451,6,16,10,0.8,14,25,1.471,1.525
452,6,16,10,0.6,18,100,4.678,4.862
453,6,16,10,0.6,18,75,3.530,3.635
454,6,16,10,0.6,18,50,2.354,2.431
455,6,16,10,0.6,18,25,1.169,1.215
456,6,16,10,0.6,16,100,5.236,5.401
457,6,16,10,0.6,16,75,3.936,4.057
458,6,16,10,0.6,16,50,2.618,2.701
459,6,16,10,0.6,16,25,1.309,1.350
460,6,16,10,0.6,14,100,5.916,6.100
461,6,16,10,0.6,14,75,4.432,4.564
462,6,16,10,0.6,14,50,2.960,3.050
463,6,16,10,0.6,14,25,1.470,1.525
464,6,16,0,1.0,18,100,5.152,5.295
465,6,16,0,1.0,18,75,3.858,3.972
466,6,16,0,1.0,18,50,2.576,2.648
467,6,16,0,1.0,18,25,1.288,1.325
468,6,16,0,1.0,16,100,5.756,5.977
469,6,16,0,1.0,16,75,4.337,4.468
470,6,16,0,1.0,16,50,2.878,2.988
471,6,16,0,1.0,16,25,1.439,1.494
472,6,16,0,1.0,14,100,6.578,6.810
473,6,16,0,1.0,14,75,4.971,5.116
474,6,16,0,1.0,14,50,3.289,3.405
475,6,16,0,1.0,14,25,1.644,1.702
476,6,16,0,0.8,18,100,5.156,5.295
477,6,16,0,0.8,18,75,3.852,3.972
478,6,16,0,0.8,18,50,2.578,2.648
479,6,16,0,0.8,18,25,1.289,1.324
480,6,16,0,0.8,16,100,5.792,5.973
481,6,16,0,0.8,16,75,4.337,4.475
482,6,16,0,0.8,16,50,2.896,2.986
483,6,16,0,0.8,16,25,1.448,1.493
484,6,16,0,0.8,14,100,6.578,6.810
485,6,16,0,0.8,14,75,4.967,5.116
486,6,16,0,0.8,14,50,3.289,3.405
487,6,16,0,0.8,14,25,1.644,1.702
488,6,16,0,0.6,18,100,5.156,5.300
489,6,16,0,0.6,18,75,3.858,3.972
490,6,16,0,0.6,18,50,2.578,2.650
491,6,16,0,0.6,18,25,1.289,1.325
492,6,16,0,0.6,16,100,5.802,5.977
493,6,16,0,0.6,16,75,4.344,4.468
494,6,16,0,0.6,16,50,2.901,2.988
495,6,16,0,0.6,16,25,1.450,1.494
496,6,16,0,0.6,14,100,6.578,6.810
497,6,16,0,0.6,14,75,4.936,5.116
498,6,16,0,0.6,14,50,3.289,3.405
499,6,16,0,0.6,14,25,1.644,1.702
500,6,14,20,1.0,18,100,4.410,4.568
501,6,14,20,1.0,18,75,3.306,3.437
502,6,14,20,1.0,18,50,2.205,2.284
503,6,14,20,1.0,18,25,1.102,1.142
504,6,14,20,1.0,16,100,4.870,5.048
505,6,14,20,1.0,16,75,3.655,3.791
506,6,14,20,1.0,16,50,2.435,2.524
507,6,14,20,1.0,16,25,1.218,1.262
508,6,14,20,1.0,14,100,5.427,5.623
509,6,14,20,1.0,14,75,4.061,4.224
510,6,14,20,1.0,14,50,2.714,2.812
511,6,14,20,1.0,14,25,1.357,1.406
512,6,14,20,0.8,18,100,4.410,4.568
513,6,14,20,0.8,18,75,3.306,3.437
514,6,14,20,0.8,18,50,2.205,2.284
515,6,14,20,0.8,18,25,1.102,1.142
516,6,14,20,0.8,16,100,4.870,5.048
517,6,14,20,0.8,16,75,3.645,3.791
518,6,14,20,0.8,16,50,2.435,2.524
519,6,14,20,0.8,16,25,1.218,1.262
520,6,14,20,0.8,14,100,5.427,5.623
521,6,14,20,0.8,14,75,4.072,4.224
522,6,14,20,0.8,14,50,2.714,2.812
523,6,14,20,0.8,14,25,1.357,1.406
524,6,14,20,0.6,18,100,4.413,4.568
525,6,14,20,0.6,18,75,3.306,3.435
526,6,14,20,0.6,18,50,2.206,2.284
527,6,14,20,0.6,18,25,1.103,1.142
528,6,14,20,0.6,16,100,4.870,5.048
529,6,14,20,0.6,16,75,3.645,3.791
530,6,14,20,0.6,16,50,2.435,2.524
531,6,14,20,0.6,16,25,1.218,1.262
532,6,14,20,0.6,14,100,5.427,5.619
533,6,14,20,0.6,14,75,4.072,4.224
534,6,14,20,0.6,14,50,2.714,2.809
535,6,14,20,0.6,14,25,1.357,1.405
536,6,14,10,1.0,18,100,4.783,4.967
537,6,14,10,1.0,18,75,3.595,3.729
538,6,14,10,1.0,18,50,2.392,2.483
539,6,14,10,1.0,18,25,1.196,1.242
540,6,14,10,1.0,16,100,5.322,5.525
541,6,14,10,1.0,16,75,3.982,4.137
542,6,14,10,1.0,16,50,2.661,2.762
543,6,14,10,1.0,16,25,1.330,1.381
544,6,14,10,1.0,14,100,6.007,6.224
545,6,14,10,1.0,14,75,4.518,4.673
546,6,14,10,1.0,14,50,3.004,3.112
547,6,14,10,1.0,14,25,1.502,1.556
548,6,14,10,0.8,18,100,4.790,4.967
